ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
30,Pepijn Aardewijn,M,28.0,192.0,76.0,Czechoslovakia,TCH,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
62,Giovanni Abagnale,M,23.0,201.0,94.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
106,Agostino Abbagnale,M,38.0,191.0,100.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
106,Agostino Abbagnale,M,36.0,191.0,100.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
107,Carmine Abbagnale,M,32.0,185.0,94.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
108,Giuseppe Abbagnale,M,35.0,190.0,101.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
690,Chantal Achterberg,F,29.0,175.0,76.0,Czechoslovakia,TCH,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
690,Chantal Achterberg,F,33.0,175.0,76.0,Czechoslovakia,TCH,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
849,Filip Kamil Adamski,M,31.0,150.0,91.0,Poland,POL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
1114,Luca Agamennoni,M,26.0,190.0,97.0,Germany,GER,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
1114,Luca Agamennoni,M,29.0,190.0,97.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
1444,"Christian ""Chris"" Ahrens",M,30.0,198.0,101.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
1740,Nikolay Aleksandrovich Aksyonov,M,28.0,204.0,104.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,Bronze
2583,Buffy-Lynne Alexander-Williams,F,25.0,173.0,73.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Bronze
2874,Wyatt Allen,M,27.0,196.0,102.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
2874,Wyatt Allen,M,31.0,196.0,102.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
3099,"Ingeburg ""Inge"" Althoff-Schwerzmann",F,27.0,183.0,76.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Pairs,Silver
3308,Catello Amarante,M,26.0,180.0,58.0,Germany,GER,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
3461,Salvatore Amitrano,M,30.0,187.0,77.0,Germany,GER,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
3691,Anne Dsane Andersen,F,25.0,186.0,90.0,Unified Team,EUN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxless Pairs,Bronze
3761,Mads Christian Kruse Andersen,M,32.0,190.0,79.0,Unified Team,EUN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
4207,Michel Andrieux,M,31.0,195.0,96.0,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Pairs,Bronze
4207,Michel Andrieux,M,35.0,195.0,96.0,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Pairs,Gold
4561,Peter Thomas Antonie,M,36.0,186.0,86.0,Belgium,BEL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Double Sculls,Gold
4720,Tessa Appeldoorn,F,29.0,180.0,75.0,Czechoslovakia,TCH,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Silver
5869,Louis Mark Attrill,M,27.0,182.0,99.0,Austria,AUT,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Gold
6346,Jrmie Azou,M,29.0,181.0,75.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Gold
6392,Roland Baar,M,29.0,199.0,94.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Bronze
6392,Roland Baar,M,33.0,199.0,94.0,Poland,POL,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,Silver
6744,"Cameron ""Cam"" Baerg",M,33.0,185.0,94.0,Norway,NOR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Silver
6811,Julien Bahain,M,24.0,193.0,97.0,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Bronze
7130,Anioara Blan-Dobre,F,28.0,179.0,75.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Quadruple Sculls,Silver
7346,Darren Balmforth,M,33.0,181.0,74.0,Belgium,BEL,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
7612,Carina Br,F,24.0,188.0,79.0,Poland,POL,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Quadruple Sculls,Silver
7612,Carina Br,F,28.0,188.0,79.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Gold
7622,Enik Barabs-Mironcic,F,24.0,184.0,78.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
7698,Samuel Ren Louis Barathay,M,49.0,188.0,90.0,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Bronze
7732,Darren Barber,M,25.0,196.0,102.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
7961,Jennifer-Kirsten Barnes,F,26.0,178.0,79.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,Gold
7961,Jennifer-Kirsten Barnes,F,26.0,178.0,79.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
8025,Thomas Gabriel Jrmie Baroukh,M,30.0,186.0,74.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
8214,Jacob Jepsen Barse,M,25.0,191.0,77.0,Unified Team,EUN,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
8214,Jacob Jepsen Barse,M,29.0,191.0,77.0,Unified Team,EUN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
8304,"Christopher Roger ""Chris"" Bartley",M,30.0,181.0,76.0,Austria,AUT,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
